,star_rating,title,content_rating,genre,duration
93,8.4,Dilwale Dulhania Le Jayenge,NOT RATED,Comedy,181
94,8.4,Singin' in the Rain,APPROVED,Comedy,103
95,8.4,All About Eve,APPROVED,Drama,138
96,8.4,Yojimbo,UNRATED,Action,110
97,8.4,The Sting,PG,Comedy,129
98,8.4,Rashomon,UNRATED,Crime,88
99,8.4,Amadeus,R,Biography,160
100,8.3,The Treasure of the Sierra Madre,NOT RATED,Action,126
101,8.3,Monty Python and the Holy Grail,PG,Adventure,91
102,8.3,Full Metal Jacket,R,Drama,116
103,8.3,The Apartment,APPROVED,Comedy,125
104,8.3,Ikiru,NOT RATED,Drama,143
105,8.3,The Third Man,NOT RATED,Film-Noir,93
106,8.3,Snatch.,R,Comedy,102
107,8.3,For a Few Dollars More,APPROVED,Western,132
108,8.3,Metropolis,NOT RATED,Drama,153
109,8.3,Dil Chahta Hai,NOT RATED,Comedy,183
110,8.3,2001: A Space Odyssey,G,Mystery,160
111,8.3,Some Like It Hot,NOT RATED,Comedy,120
112,8.3,L.A. Confidential,R,Crime,138
113,8.3,Batman Begins,PG-13,Action,140
114,8.3,Inglourious Basterds,R,Adventure,153
115,8.3,Scarface,R,Crime,170
116,8.3,Mr. Smith Goes to Washington,NOT RATED,Drama,129
117,8.3,Toy Story,G,Animation,81
118,8.3,Indiana Jones and the Last Crusade,PG-13,Action,127
119,8.3,Unforgiven,R,Western,131
120,8.3,The Great Escape,UNRATED,Adventure,172
121,8.3,Jagten,R,Drama,115
122,8.3,On the Waterfront,NOT RATED,Crime,108
123,8.3,The General,UNRATED,Action,107
124,8.3,Raging Bull,R,Biography,129
125,8.3,Downfall,R,Biography,156
126,8.3,Up,PG,Animation,96
127,8.3,Wild Strawberries,UNRATED,Drama,91
128,8.3,The Gold Rush,NOT RATED,Adventure,95
129,8.3,Ran,R,Action,162
130,8.3,Chinatown,R,Drama,130
131,8.3,My Neighbor Totoro,G,Animation,86
132,8.3,Judgment at Nuremberg,NOT RATED,Drama,186
133,8.3,Barfi!,NOT RATED,Adventure,151
134,8.3,The Seventh Seal,NOT RATED,Drama,96
135,8.3,Heat,R,Action,170
136,8.3,Pan's Labyrinth,R,Drama,118
137,8.3,The Bridge on the River Kwai,PG,Adventure,161
138,8.3,Die Hard,R,Action,131
139,8.3,Good Will Hunting,R,Drama,126
140,8.3,The Wages of Fear,NOT RATED,Adventure,131
141,8.3,The Secret in Their Eyes,R,Drama,129
142,8.3,Lagaan: Once Upon a Time in India,PG,Adventure,224
143,8.2,The Wolf of Wall Street,R,Biography,180
144,8.2,It Happened One Night,UNRATED,Comedy,105
145,8.2,Blade Runner,R,Sci-Fi,117
146,8.2,Warrior,PG-13,Drama,140
147,8.2,Howl's Moving Castle,PG,Animation,119
148,8.2,The Elephant Man,PG,Biography,124
149,8.2,Rebecca,NOT RATED,Mystery,130
150,8.2,Incendies,R,Drama,139
151,8.2,"Lock, Stock and Two Smoking Barrels",R,Comedy,107
152,8.2,V for Vendetta,R,Action,132
153,8.2,The Big Lebowski,R,Comedy,117
154,8.2,Cool Hand Luke,PG,Crime,126
155,8.2,Relatos salvajes,R,Comedy,122
156,8.2,Casino,R,Biography,178
157,8.2,Gone with the Wind,G,Drama,238
158,8.2,Gone Girl,R,Drama,149
159,8.2,The Best Years of Our Lives,PASSED,Drama,172
160,8.2,How to Train Your Dragon,PG,Animation,98
161,8.2,Diabolique,UNRATED,Horror,116
162,8.2,Gran Torino,R,Drama,116
163,8.2,Rush,R,Action,123
164,8.2,Into the Wild,R,Adventure,148
165,8.2,My Sassy Girl,NOT RATED,Comedy,123
166,8.2,The Deer Hunter,R,Drama,182
167,8.2,Mary and Max,NOT RATED,Animation,92
168,8.2,Hachi: A Dog's Tale,G,Drama,93
169,8.2,The Maltese Falcon,NOT RATED,Crime,100
170,8.2,A Beautiful Mind,PG-13,Biography,135
171,8.2,Dial M for Murder,PG,Crime,105
172,8.2,Trainspotting,R,Drama,94
173,8.2,Tae Guk Gi: The Brotherhood of War,R,Action,140
174,8.2,Persona,NOT RATED,Drama,83
175,8.2,Touch of Evil,PG-13,Crime,95
176,8.2,Fargo,R,Crime,98
177,8.2,The Avengers,PG-13,Action,143
178,8.2,The 400 Blows,NOT RATED,Crime,99
179,8.2,The Princess Bride,PG,Adventure,98
180,8.2,Hotel Rwanda,PG-13,Drama,121
181,8.2,Stalker,NOT RATED,Drama,163
182,8.2,The Battle of Algiers,NOT RATED,Crime,121
183,8.2,Underground,NOT RATED,Comedy,167
184,8.2,Fanny and Alexander,R,Drama,188
185,8.2,Network,R,Drama,121
186,8.2,The Thing,R,Horror,109
187,8.2,Butch Cassidy and the Sundance Kid,,Biography,110
188,8.2,The Grapes of Wrath,NOT RATED,Drama,129
189,8.2,"Black Cat, White Cat",R,Comedy,127
190,8.2,Life of Brian,R,Comedy,94
191,8.2,The Sixth Sense,PG-13,Drama,107
192,8.2,Finding Nemo,G,Animation,100
193,8.2,Nausicaa of the Valley of the Wind,PG,Animation,117
194,8.1,Kingsman: The Secret Service,R,Action,129
195,8.1,Platoon,R,Drama,120
196,8.1,Guardians of the Galaxy,PG-13,Action,121
197,8.1,In the Name of the Father,R,Biography,133
198,8.1,Kill Bill: Vol. 1,R,Action,111
199,8.1,No Country for Old Men,R,Crime,122
200,8.1,Le Samourai,PG,Crime,101
201,8.1,12 Years a Slave,R,Biography,134
202,8.1,La leggenda del pianista sull'oceano,R,Drama,165
203,8.1,8 1/2,NOT RATED,Drama,138
204,8.1,Ben-Hur,G,Adventure,212
205,8.1,Amores Perros,R,Drama,154
206,8.1,Stand by Me,R,Adventure,89
207,8.1,What Ever Happened to Baby Jane?,APPROVED,Drama,134
208,8.1,Annie Hall,PG,Comedy,93
209,8.1,The Imitation Game,PG-13,Biography,114
210,8.1,Laura,APPROVED,Film-Noir,88
211,8.1,Departures,PG-13,Drama,130
212,8.1,Infernal Affairs,R,Crime,101
213,8.1,There Will Be Blood,R,Drama,158
214,8.1,The Grand Budapest Hotel,R,Adventure,99
215,8.1,La Strada,NOT RATED,Drama,108
216,8.1,Sin City,R,Crime,124
217,8.1,Memories of Murder,UNRATED,Crime,132
218,8.1,Donnie Darko,R,Drama,113
219,8.1,Who's Afraid of Virginia Woolf?,TV-MA,Drama,131
220,8.1,Gandhi,PG,Biography,191
221,8.1,Solaris,PG,Drama,167
222,8.1,Harry Potter and the Deathly Hallows: Part 2,PG-13,Adventure,130
223,8.1,"Paris, Texas",R,Drama,147
224,8.1,The Wizard of Oz,PASSED,Adventure,102
225,8.1,3-Iron,R,Crime,88
226,8.1,Boyhood,R,Drama,165
227,8.1,Million Dollar Baby,PG-13,Drama,132
228,8.1,The Last Picture Show,R,Drama,118
229,8.1,Strangers on a Train,APPROVED,Crime,101
230,8.1,Cat on a Hot Tin Roof,APPROVED,Drama,108
231,8.1,La Dolce Vita,NOT RATED,Comedy,174
232,8.1,Chungking Express,PG-13,Drama,98
233,8.1,The Night of the Hunter,APPROVED,Crime,92
234,8.1,La Haine,NOT RATED,Crime,98
235,8.1,Yip Man,R,Action,106
236,8.1,High Noon,PG,Western,85
237,8.1,Notorious,APPROVED,Drama,101
238,8.1,Before Sunrise,R,Drama,105
239,8.1,Elite Squad: The Enemy Within,UNRATED,Action,115
240,8.1,The Bourne Ultimatum,PG-13,Action,115
241,8.1,Castle in the Sky,PG,Animation,124
242,8.1,The Celebration,R,Drama,105
243,8.1,"Spring, Summer, Fall, Winter... and Spring",R,Drama,103
244,8.1,Shutter Island,R,Mystery,138
245,8.1,Barry Lyndon,PG,Adventure,184
246,8.1,Stalag 17,NOT RATED,Comedy,120
247,8.1,Three Colors: Red,R,Drama,99
248,8.1,X-Men: Days of Future Past,PG-13,Action,131
249,8.1,Sleuth,PG,Mystery,138
250,8.1,In the Mood for Love,PG,Drama,98
251,8.1,The Man Who Shot Liberty Valance,APPROVED,Drama,123
252,8.1,Arsenic and Old Lace,NOT RATED,Comedy,118
253,8.1,The Big Sleep,APPROVED,Crime,114
254,8.1,Roman Holiday,NOT RATED,Comedy,118
255,8.1,The Philadelphia Story,NOT RATED,Comedy,112
256,8.1,Akira,R,Animation,124
257,8.1,Anatomy of a Murder,UNRATED,Crime,160
258,8.1,The Cabinet of Dr. Caligari,UNRATED,Crime,67
259,8.1,The Help,PG-13,Drama,146
260,8.1,The Sea Inside,PG-13,Biography,125
261,8.1,Elite Squad,R,Action,115
262,8.1,The Hustler,UNRATED,Drama,134
263,8.1,Rio Bravo,NOT RATED,Western,141
264,8.1,Twelve Monkeys,R,Mystery,129
265,8.1,Harvey,NOT RATED,Comedy,104
266,8.1,A Christmas Story,PG,Comedy,94
267,8.1,Jaws,PG,Drama,124
268,8.1,The Raid 2,R,Action,150
269,8.1,Rocky,PG,Drama,119
270,8.1,Wings of Desire,PG-13,Drama,128
271,8.1,Pirates of the Caribbean: The Curse of the Black Pearl,PG-13,Adventure,143
272,8.1,The Killing,APPROVED,Crime,85
273,8.1,Papillon,R,Biography,151
274,8.1,The King's Speech,R,Biography,118
275,8.1,Groundhog Day,PG,Comedy,101
276,8.1,A Fistful of Dollars,R,Action,99
277,8.1,"Monsters, Inc.",G,Animation,92
278,8.1,Dog Day Afternoon,R,Crime,125
279,8.1,The Perks of Being a Wallflower,PG-13,Drama,102
280,8.1,Young Frankenstein,PG,Comedy,106
281,8.1,The Terminator,R,Action,107
282,8.1,Harold and Maude,GP,Comedy,91
283,8.1,Before Sunset,R,Drama,80
284,8.1,A Streetcar Named Desire,PG,Drama,122
285,8.1,Bringing Up Baby,APPROVED,Comedy,102
286,8.1,The Diving Bell and the Butterfly,PG-13,Biography,112
287,8.1,His Girl Friday,APPROVED,Comedy,92
288,8.1,Sling Blade,R,Drama,135
289,8.1,All Quiet on the Western Front,UNRATED,Drama,136
290,8.1,Prisoners,R,Crime,153
291,8.1,The Return,UNRATED,Drama,105
292,8.1,The Manchurian Candidate,APPROVED,Mystery,126
293,8.1,Duck Soup,PASSED,Comedy,68
294,8.1,Beauty and the Beast,G,Animation,84
295,8.1,The Truman Show,PG,Drama,103
296,8.1,The Wild Bunch,R,Action,145
297,8.0,Rope,PG,Crime,80
298,8.0,The Graduate,APPROVED,Comedy,106
299,8.0,Jurassic Park,PG-13,Adventure,127
300,8.0,Dogville,R,Crime,178
301,8.0,Furious 7,PG-13,Action,137
302,8.0,Patton,GP,Biography,172
303,8.0,The Nightmare Before Christmas,PG,Animation,76
304,8.0,Being There,PG,Comedy,130
305,8.0,Persepolis,PG-13,Animation,96
306,8.0,This Is Spinal Tap,R,Comedy,82
307,8.0,East of Eden,PG,Drama,115
308,8.0,Pink Floyd The Wall,R,Animation,95
309,8.0,Blood Diamond,R,Adventure,143
310,8.0,Big Fish,PG-13,Adventure,125
311,8.0,Slumdog Millionaire,R,Drama,120
312,8.0,Star Trek,PG-13,Action,127
313,8.0,The Straight Story,G,Biography,112
314,8.0,Crimes and Misdemeanors,PG-13,Comedy,104
315,8.0,Charade,NOT RATED,Comedy,113
316,8.0,JFK,R,Drama,189
317,8.0,Dawn of the Dead,UNRATED,Horror,127
318,8.0,Magnolia,R,Drama,188
319,8.0,Manhattan,R,Comedy,96
320,8.0,Central Station,R,Drama,113
321,8.0,Brazil,R,Sci-Fi,132
322,8.0,The Exorcist,R,Horror,122
323,8.0,Her,R,Drama,126
324,8.0,Dancer in the Dark,R,Crime,140
325,8.0,Rain Man,R,Drama,133
326,8.0,Talk to Her,R,Drama,112
327,8.0,The Adventures of Robin Hood,PG,Action,102
328,8.0,"Aguirre, the Wrath of God",NOT RATED,Adventure,93
329,8.0,In the Heat of the Night,APPROVED,Crime,109
330,8.0,Nosferatu,UNRATED,Horror,81
331,8.0,Black Swan,R,Drama,108
332,8.0,Ratatouille,G,Animation,111
333,8.0,The Searchers,APPROVED,Adventure,119
334,8.0,Short Term 12,R,Drama,96
335,8.0,Doctor Zhivago,PG-13,Drama,197
336,8.0,Life of Pi,PG,Adventure,127
337,8.0,All the President's Men,R,Drama,138
338,8.0,Battleship Potemkin,UNRATED,History,66
339,8.0,Dances with Wolves,PG-13,Adventure,181
340,8.0,Catch Me If You Can,PG-13,Biography,141
341,8.0,Cinderella Man,PG-13,Biography,144
342,8.0,Dead Poets Society,PG,Drama,128
343,8.0,Ghost in the Shell,NOT RATED,Animation,83
344,8.0,Head-On,R,Drama,121
345,8.0,No Man's Land,R,Drama,98
346,8.0,Dallas Buyers Club,R,Biography,117
347,8.0,Days of Heaven,PG,Drama,94
348,8.0,The Sound of Music,G,Biography,174
349,8.0,District 9,R,Action,112
350,8.0,Shadow of a Doubt,APPROVED,Thriller,108
351,8.0,Frankenstein,UNRATED,Horror,70
352,8.0,Shaun of the Dead,R,Comedy,99
353,8.0,Night of the Living Dead,UNRATED,Horror,96
354,8.0,Kill Bill: Vol. 2,R,Action,137
355,8.0,Secrets & Lies,R,Drama,136
356,8.0,The Artist,PG-13,Comedy,100
357,8.0,Aladdin,G,Animation,90
358,8.0,The Lady Vanishes,PASSED,Comedy,96
359,8.0,The Hobbit: The Desolation of Smaug,PG-13,Adventure,161
360,8.0,Let the Right One In,R,Drama,115
361,8.0,Fiddler on the Roof,G,Drama,181
362,8.0,The Hobbit: An Unexpected Journey,PG-13,Adventure,169
363,8.0,Three Colors: Blue,R,Drama,98
364,8.0,Rosemary's Baby,R,Drama,136
365,8.0,Mystic River,R,Crime,138
366,8.0,Serenity,PG-13,Action,119
367,8.0,Amarcord,R,Comedy,123
368,8.0,Planet of the Apes,G,Adventure,112
369,8.0,True Romance,R,Crime,120
370,8.0,Hannah and Her Sisters,PG-13,Comedy,103
371,8.0,Moon,R,Drama,97
372,8.0,Before Midnight,R,Drama,109
373,8.0,My Name Is Khan,PG-13,Drama,165
374,8.0,Scent of a Woman,R,Drama,156
375,8.0,Mulholland Dr.,R,Drama,147
376,8.0,King Kong,UNRATED,Adventure,100
377,8.0,The Fault in Our Stars,PG-13,Drama,126
378,8.0,The Incredibles,PG,Animation,115
379,8.0,Edward Scissorhands,PG-13,Drama,105
380,8.0,Casino Royale,PG-13,Action,144
381,8.0,How to Train Your Dragon 2,PG,Animation,102
382,8.0,In Bruges,R,Comedy,107
383,8.0,The Untouchables,R,Crime,119
384,8.0,Breathless,UNRATED,Crime,90
385,8.0,Spartacus,PG-13,Action,197
386,8.0,The Iron Giant,PG,Animation,86
387,8.0,Midnight Cowboy,X,Drama,113
388,8.0,The Blues Brothers,R,Action,133
389,8.0,Freaks,UNRATED,Drama,64
390,8.0,Letters from Iwo Jima,R,Drama,141
391,8.0,Edge of Tomorrow,PG-13,Action,113
392,8.0,Glory,R,Drama,122
393,8.0,The African Queen,PG,Adventure,105
394,7.9,Birdman: Or (The Unexpected Virtue of Ignorance),R,Comedy,119
395,7.9,Big Hero 6,PG,Animation,102
396,7.9,Almost Famous,R,Drama,122
397,7.9,The Notebook,PG-13,Drama,123
398,7.9,The Conversation,PG,Drama,113
399,7.9,The Breakfast Club,R,Comedy,97
400,7.9,The Pursuit of Happyness,PG-13,Biography,117
401,7.9,The Killer,R,Action,111
402,7.9,Once,R,Drama,85
403,7.9,Ying xiong,PG-13,Action,99
404,7.9,The Remains of the Day,PG,Drama,134
405,7.9,The Bride of Frankenstein,NOT RATED,Horror,75
406,7.9,The Wrestler,R,Drama,109
407,7.9,Nightcrawler,R,Crime,117
408,7.9,Gravity,PG-13,Sci-Fi,91
409,7.9,Hard Boiled,R,Action,128
410,7.9,Bonnie and Clyde,APPROVED,Biography,111
411,7.9,The Bourne Identity,PG-13,Action,119
412,7.9,Key Largo,UNRATED,Crime,100
413,7.9,Nine Queens,R,Crime,114
414,7.9,Toy Story 2,G,Animation,92
415,7.9,The Killing Fields,R,Drama,141
416,7.9,All About My Mother,R,Drama,101
417,7.9,Cowboy Bebop: The Movie,R,Animation,115
418,7.9,Ed Wood,R,Biography,127
419,7.9,Stagecoach,NOT RATED,Adventure,96
420,7.9,The Man Who Would Be King,PG,Action,129
421,7.9,The Outlaw Josey Wales,PG,Western,135
422,7.9,Children of Men,R,Drama,109
423,7.9,The Insider,R,Biography,157
424,7.9,The Right Stuff,R,Adventure,193
425,7.9,Badlands,PG,Crime,94
426,7.9,A Prophet,R,Crime,155
427,7.9,"4 Months, 3 Weeks and 2 Days",NOT RATED,Drama,113
428,7.9,Le passe,PG-13,Drama,130
429,7.9,The Fall,R,Adventure,117
430,7.9,Breaking the Waves,R,Drama,159
431,7.9,Mr. Nobody,R,Drama,141
432,7.9,Crash,R,Drama,112
433,7.9,Avatar,PG-13,Action,162
434,7.9,Iron Man,PG-13,Action,126
435,7.9,Do the Right Thing,R,Comedy,120
436,7.9,Carlito's Way,R,Crime,144
437,7.9,"Crouching Tiger, Hidden Dragon",PG-13,Action,120
438,7.9,Lilya 4-Ever,R,Crime,109
439,7.9,The Chorus,PG-13,Drama,97
440,7.9,The Boondock Saints,R,Action,108
441,7.9,Miller's Crossing,R,Crime,115
442,7.9,Walk the Line,PG-13,Biography,136
443,7.9,Shrek,PG,Animation,90
444,7.9,My Fair Lady,APPROVED,Drama,170
445,7.9,The Ten Commandments,APPROVED,Adventure,220
446,7.9,The Fighter,R,Biography,116
447,7.9,Captain Phillips,PG-13,Biography,134
448,7.9,Cabaret,PG,Drama,124
449,7.9,Halloween,R,Drama,91
450,7.9,My Left Foot,R,Biography,103
451,7.9,Miracle on 34th Street,APPROVED,Comedy,96
452,7.9,The Man from Nowhere,R,Action,119
453,7.9,Toki o kakeru shojo,NOT RATED,Animation,98
454,7.9,Little Miss Sunshine,R,Adventure,101
455,7.9,Taken,PG-13,Action,93
456,7.9,Blue Is the Warmest Color,NC-17,Drama,179
457,7.9,Boogie Nights,R,Drama,155
458,7.9,Hot Fuzz,R,Comedy,121
459,7.9,Ferris Bueller's Day Off,PG-13,Comedy,103
460,7.9,The World's Fastest Indian,PG-13,Biography,127
461,7.9,Kiki's Delivery Service,G,Animation,103
462,7.9,Down by Law,R,Comedy,107
463,7.9,Glengarry Glen Ross,R,Drama,100
464,7.9,Clerks,R,Comedy,92
465,7.9,Adam's Apples,R,Comedy,94
466,7.9,The Girl with the Dragon Tattoo,R,Crime,158
467,7.9,The 39 Steps,UNRATED,Mystery,86
468,7.9,E.T. the Extra-Terrestrial,PG,Family,115
469,7.8,Tombstone,R,Action,130
470,7.8,Predator,R,Action,107
471,7.8,Tangled,PG,Animation,100
472,7.8,Guess Who's Coming to Dinner,UNRATED,Comedy,108
473,7.8,Ordinary People,R,Drama,124
474,7.8,The Best Offer,R,Crime,131
475,7.8,Silver Linings Playbook,R,Comedy,122
476,7.8,Hamlet,PG-13,Drama,242
477,7.8,Amour,PG-13,Drama,127
478,7.8,I Saw the Devil,NOT RATED,Crime,141
479,7.8,The Motorcycle Diaries,R,Adventure,126
480,7.8,Office Space,R,Comedy,89
481,7.8,Evil,NOT RATED,Drama,113
482,7.8,The Girl with the Dragon Tattoo,R,Crime,152
483,7.8,Withnail & I,R,Comedy,107
484,7.8,The Day the Earth Stood Still,APPROVED,Sci-Fi,92
485,7.8,Black Book,R,Drama,145
486,7.8,Evil Dead II,X,Comedy,84
487,7.8,Kaze tachinu,PG-13,Animation,126
488,7.8,Star Trek Into Darkness,PG-13,Action,132
489,7.8,The Triplets of Belleville,PG-13,Animation,78
490,7.8,Open Your Eyes,R,Drama,117
491,7.8,The Magnificent Seven,NOT RATED,Action,128
492,7.8,Drive,R,Crime,100
493,7.8,Mississippi Burning,R,Crime,128
494,7.8,The Lego Movie,PG,Animation,100
495,7.8,The Day of the Jackal,PG,Crime,143
496,7.8,Misery,R,Thriller,107
497,7.8,Willy Wonka & the Chocolate Factory,G,Family,100
498,7.8,Fantasia,G,Animation,125
499,7.8,Gattaca,PG-13,Drama,106
500,7.8,American Gangster,R,Biography,157
501,7.8,Porco Rosso,PG,Animation,94
502,7.8,The French Connection,R,Action,104
503,7.8,The Boy in the Striped Pajamas,PG-13,Drama,94
504,7.8,Empire of the Sun,PG,Drama,153
505,7.8,About Time,R,Drama,123
506,7.8,Blue Velvet,R,Crime,120
507,7.8,In America,PG-13,Drama,105
508,7.8,The Curious Case of Benjamin Button,PG-13,Drama,166
509,7.8,The Last of the Mohicans,R,Action,112
510,7.8,Moonrise Kingdom,PG-13,Adventure,94
511,7.8,Rebel Without a Cause,PG-13,Drama,111
512,7.8,Fantastic Mr. Fox,PG,Animation,87
513,7.8,Invasion of the Body Snatchers,APPROVED,Horror,80
514,7.8,October Sky,PG,Biography,108
515,7.8,Dirty Harry,R,Action,102
516,7.8,Ghostbusters,PG,Comedy,105
517,7.8,Captain America: The Winter Soldier,PG-13,Action,136
518,7.8,Wreck-It Ralph,PG,Animation,101
519,7.8,The Hangover,R,Comedy,100
520,7.8,Back to the Future Part II,PG,Adventure,108
521,7.8,Belle de Jour,APPROVED,Drama,101
522,7.8,"O Brother, Where Art Thou?",PG-13,Adventure,106
523,7.8,Repulsion,UNRATED,Drama,105
524,7.8,Airplane!,PG,Comedy,88
525,7.8,Pride & Prejudice,PG,Drama,129
526,7.8,Zulu,UNRATED,Drama,138
527,7.8,Night on Earth,R,Comedy,129
528,7.8,From Here to Eternity,NOT RATED,Drama,118
529,7.8,Apocalypto,R,Action,139
530,7.8,Atonement,R,Drama,123
531,7.8,The Dirty Dozen,NOT RATED,Action,150
532,7.8,X-Men: First Class,PG-13,Action,132
533,7.8,Run Lola Run,R,Action,80
534,7.8,The Longest Day,G,Action,178
535,7.8,Zelig,PG,Comedy,79
536,7.8,The Last Emperor,PG-13,Biography,163
537,7.8,The Goonies,PG,Adventure,114
538,7.8,The White Ribbon,R,Drama,144
539,7.8,The Fugitive,PG-13,Action,130
540,7.8,The Color Purple,PG-13,Drama,154
541,7.8,South Park: Bigger Longer & Uncut,R,Animation,81
542,7.8,(500) Days of Summer,PG-13,Comedy,95
543,7.8,Lost in Translation,R,Drama,101
544,7.8,Argo,R,Drama,120
545,7.8,Blazing Saddles,R,Comedy,93
546,7.8,Breakfast at Tiffany's,NOT RATED,Comedy,115
547,7.8,Finding Neverland,PG,Biography,106
548,7.8,The Experiment,R,Drama,120
549,7.8,Lucky Number Slevin,R,Crime,110
550,7.8,The Theory of Everything,PG-13,Biography,123
551,7.8,Harry Potter and the Prisoner of Azkaban,PG,Adventure,142
552,7.8,Kung Fu Hustle,R,Action,99
553,7.8,Being John Malkovich,R,Comedy,112
554,7.8,The Social Network,PG-13,Biography,120
555,7.8,3:10 to Yuma,R,Adventure,122
556,7.8,The Name of the Rose,R,Crime,130
557,7.8,Mary Poppins,APPROVED,Comedy,139
558,7.8,The Game,R,Drama,129
559,7.8,Changeling,R,Drama,141
560,7.8,Donnie Brasco,R,Biography,127
561,7.8,Serpico,R,Biography,130
562,7.8,What's Eating Gilbert Grape,PG-13,Drama,118
563,7.8,Goldfinger,APPROVED,Action,110
564,7.8,Nebraska,R,Adventure,115
565,7.8,The Sandlot,PG,Comedy,101
566,7.8,Boyz n the Hood,R,Crime,112
567,7.8,The Bourne Supremacy,PG-13,Action,108
568,7.8,Skyfall,PG-13,Action,143
569,7.8,Ray,PG-13,Biography,152
570,7.8,300,R,Action,117
